1,Union EXP,5,/Game/Aki/UI/UIResources/Common/Image/IconA/T_IconA_AccountExp_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconA160/T_IconA160_AccountExp_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconA80/T_IconA80_AccountExp_UI.png
2,Shell Credit,3,/Game/Aki/UI/UIResources/Common/Image/IconA/T_IconA_hsb_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconA160/T_IconA160_hsb_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconA80/T_IconA80_hsb_UI.png
3,Astrite,5,/Game/Aki/UI/UIResources/Common/Image/IconA/T_IconA_zcpq_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconA160/T_IconA160_zcpq_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconA80/T_IconA80_zcpq_UI.png
4,Lunite,5,/Game/Aki/UI/UIResources/Common/Image/IconA/T_IconA_cdtq_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconA160/T_IconA160_cdtq_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconA80/T_IconA80_cdtq_UI.png
5,Waveplate,4,/Game/Aki/UI/UIResources/Common/Image/IconA/T_IconA_yml_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconA160/T_IconA160_yml_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconA80/T_IconA80_yml_UI.png
10800,Crystal Solvent,4,/Game/Aki/UI/UIResources/Common/Image/IconA/T_IconA_mlf_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconA160/T_IconA160_mlf_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconA80/T_IconA80_mlf_UI.png
10001102,Sanhua's Waveband,4,/Game/Aki/UI/UIResources/Common/Image/IconRup/T_IconRup_Part_1102_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconRup160/T_IconRup160_Part_1102_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconRup80/T_IconRup80_Part_1102_UI.png
10001103,Baizhi's Waveband,4,/Game/Aki/UI/UIResources/Common/Image/IconRup/T_IconRup_Part_1103_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconRup160/T_IconRup160_Part_1103_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconRup80/T_IconRup80_Part_1103_UI.png
10001202,Chixia's Waveband,4,/Game/Aki/UI/UIResources/Common/Image/IconRup/T_IconRup_Part_1202_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconRup160/T_IconRup160_Part_1202_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconRup80/T_IconRup80_Part_1202_UI.png
10001203,Encore's Waveband,5,/Game/Aki/UI/UIResources/Common/Image/IconRup/T_IconRup_Part_1203_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconRup160/T_IconRup160_Part_1203_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconRup80/T_IconRup80_Part_1203_UI.png
10001402,Yangyang's Waveband,4,/Game/Aki/UI/UIResources/Common/Image/IconRup/T_IconRup_Part_1402_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconRup160/T_IconRup160_Part_1402_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconRup80/T_IconRup80_Part_1402_UI.png
10001503,Verina's Waveband,5,/Game/Aki/UI/UIResources/Common/Image/IconRup/T_IconRup_Part_1503_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconRup160/T_IconRup160_Part_1503_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconRup80/T_IconRup80_Part_1503_UI.png
10001601,Taoqi's Waveband,4,/Game/Aki/UI/UIResources/Common/Image/IconRup/T_IconRup_Part_1601_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconRup160/T_IconRup160_Part_1601_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconRup80/T_IconRup80_Part_1601_UI.png
10001602,Danjin's Waveband,4,/Game/Aki/UI/UIResources/Common/Image/IconRup/T_IconRup_Part_1602_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconRup160/T_IconRup160_Part_1602_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconRup80/T_IconRup80_Part_1602_UI.png
41300005,Mysterious Code,5,/Game/Aki/UI/UIResources/Common/Image/IconMout/T_IconMout_L_002_1_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconMout160/T_IconMout160_L_002_1_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconMout80/T_IconMout80_L_002_1_UI.png
41400014,Strife Tacet Core,4,/Game/Aki/UI/UIResources/Common/Image/IconMout/T_IconMout_L_004_1_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconMout160/T_IconMout160_L_004_1_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconMout80/T_IconMout80_L_004_1_UI.png
41400024,Thundering Tacet Core,4,/Game/Aki/UI/UIResources/Common/Image/IconMout/T_IconMout_L_001_1_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconMout160/T_IconMout160_L_001_1_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconMout80/T_IconMout80_L_001_1_UI.png
41400034,Elegy Tacet Core,4,/Game/Aki/UI/UIResources/Common/Image/IconMout/T_IconMout_L_006_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconMout160/T_IconMout160_L_006_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconMout80/T_IconMout80_L_006_UI.png
41400044,Rage Tacet Core,4,/Game/Aki/UI/UIResources/Common/Image/IconMout/T_IconMout_L_008_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconMout160/T_IconMout160_L_008_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconMout80/T_IconMout80_L_008_UI.png
41400054,Roaring Rock Fist,4,/Game/Aki/UI/UIResources/Common/Image/IconMout/T_IconMout_L_011_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconMout160/T_IconMout160_L_011_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconMout80/T_IconMout80_L_011_UI.png
41400064,Gold-Dissolving Feather,4,/Game/Aki/UI/UIResources/Common/Image/IconMout/T_IconMout_L_010_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconMout160/T_IconMout160_L_010_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconMout80/T_IconMout80_L_010_UI.png
41400074,Sound-Keeping Tacet Core,4,/Game/Aki/UI/UIResources/Common/Image/IconMout/T_IconMout_L_007_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconMout160/T_IconMout160_L_007_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconMout80/T_IconMout80_L_007_UI.png
41400084,Group Abomination Tacet Core,4,/Game/Aki/UI/UIResources/Common/Image/IconMout/T_IconMout_L_009_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconMout160/T_IconMout160_L_009_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconMout80/T_IconMout80_L_009_UI.png
41100011,LF Whisperin Core,2,/Game/Aki/UI/UIResources/Common/Image/IconMout/T_IconMout_O_002_1_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconMout160/T_IconMout160_O_002_1_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconMout80/T_IconMout80_O_002_1_UI.png
41100012,MF Whisperin Core,3,/Game/Aki/UI/UIResources/Common/Image/IconMout/T_IconMout_O_002_2_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconMout160/T_IconMout160_O_002_2_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconMout80/T_IconMout80_O_002_2_UI.png
41100013,HF Whisperin Core,4,/Game/Aki/UI/UIResources/Common/Image/IconMout/T_IconMout_O_002_3_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconMout160/T_IconMout160_O_002_3_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconMout80/T_IconMout80_O_002_3_UI.png
41100014,FF Whisperin Core,5,/Game/Aki/UI/UIResources/Common/Image/IconMout/T_IconMout_O_002_4_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconMout160/T_IconMout160_O_002_4_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconMout80/T_IconMout80_O_002_4_UI.png
41100021,LF Howler Core,2,/Game/Aki/UI/UIResources/Common/Image/IconMout/T_IconMout_E_002_1_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconMout160/T_IconMout160_E_002_1_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconMout80/T_IconMout80_E_002_1_UI.png
41100022,MF Howler Core,3,/Game/Aki/UI/UIResources/Common/Image/IconMout/T_IconMout_E_002_2_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconMout160/T_IconMout160_E_002_2_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconMout80/T_IconMout80_E_002_2_UI.png
41100023,HF Howler Core,4,/Game/Aki/UI/UIResources/Common/Image/IconMout/T_IconMout_E_002_3_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconMout160/T_IconMout160_E_002_3_UI.png,/Game/Aki/UI/UIResources/Common/Image/IconMout80/T_IconMout80_E_002_3_UI.png
